title,index_type,link,score,query
Execution from AppData folder,events,https://github.com/boingomw/Lazerbearsharkpig/blob/master/pretty_feed_links/DeloitteHunting.tsv,50,(path:appdata\* or path:Application Data\*) -alliance_score_deloitteexceptions:[1 TO *]
Shells run by SYSTEM,events,https://github.com/boingomw/Lazerbearsharkpig/blob/master/pretty_feed_links/DeloitteHunting.tsv,50,(process_name:powershell.exe OR process_name:cmd.exe) username:system -alliance_score_deloitteexceptions:[1 TO *]
Remote execution utilities e.g. PSExec,events,https://github.com/boingomw/Lazerbearsharkpig/blob/master/pretty_feed_links/DeloitteHunting.tsv,50,(process_name:psexec.exe OR process_name:rexec.exe OR process_name:rcmd.exe or process_name:xcmd.exe) -alliance_score_deloitteexceptions:[1 TO *]
Firewall Modificiations,events,https://github.com/boingomw/Lazerbearsharkpig/blob/master/pretty_feed_links/DeloitteHunting.tsv,50,(regmod:\registry\machine\SYSTEM\*\services\SharedAccess\*\FirewallPolicy\*\EnableFirewall AND -process_name:svchost.exe) OR (cmdline:netsh AND cmdline:advfirewall) -alliance_score_deloitteexceptions:[1 TO *]
Vulnerable software that spawned a shell,events,https://github.com/boingomw/Lazerbearsharkpig/blob/master/pretty_feed_links/DeloitteHunting.tsv,50,alliance_score_nvd:* AND (childproc_name:powershell.exe OR childproc_name:cmd.exe) -alliance_score_deloitteexceptions:[1 TO *]
"Processes that have VT score > 10, and more than 1 network connection",events,https://github.com/boingomw/Lazerbearsharkpig/blob/master/pretty_feed_links/DeloitteHunting.tsv,50,alliance_score_virustotal:[10 TO *] AND netconn_count:[1 TO *] -alliance_score_deloitteexceptions:[1 TO *]
"Command prompt started by commonly compromised programs (browsers, Acrobat, Java, etc.) ",events,https://github.com/boingomw/Lazerbearsharkpig/blob/master/pretty_feed_links/DeloitteHunting.tsv,50,childproc_name:cmd.exe AND (parent_name:iexplore.exe OR parent_name:firefox.exe OR parent_name:chrome.exe OR parent_name:acrord32.exe OR parent_name:java.exe OR parent_name:javaw.exe OR parent_name:*flash*) -alliance_score_deloitteexceptions:[1 TO *]
Any process that spawned a shell,events,https://github.com/boingomw/Lazerbearsharkpig/blob/master/pretty_feed_links/DeloitteHunting.tsv,50,childproc_name:powershell.exe OR childproc_name:cmd.exe -alliance_score_deloitteexceptions:[1 TO *]
Copying binary files via CMD,events,https://github.com/boingomw/Lazerbearsharkpig/blob/master/pretty_feed_links/DeloitteHunting.tsv,50,"cmdline:""copy /b"" -alliance_score_deloitteexceptions:[1 TO *]"
Net use,events,https://github.com/boingomw/Lazerbearsharkpig/blob/master/pretty_feed_links/DeloitteHunting.tsv,50,"cmdline:""net use"" -alliance_score_deloitteexceptions:[1 TO *]"
